city,lat_lngs,lat,long,temp,max_temp,humidity,wind_speed,clouds
oussouye,"(10.032358916691763, -21.21601517525471)",10.032358916691763,-21.21601517525471,80.96,87.8,52,11.41,0
babushkin,"(51.88734003895118, 105.73716817774078)",51.88734003895118,105.73716817774078,40.58,40.58,60,10.36,80
saint-joseph,"(-28.30135437953045, 56.3646689045768)",-28.30135437953045,56.3646689045768,55.6,59,67,3.36,0
tymovskoye,"(50.96981881986716, 143.16516031144795)",50.96981881986716,143.16516031144795,40.22,40.22,95,3.44,100
las vegas,"(35.449680302494855, -105.30205387342481)",35.449680302494855,-105.30205387342481,45.82,48.99,70,2.24,40
pinawa,"(50.41189645003459, -95.6858672825124)",50.41189645003459,-95.6858672825124,52.82,52.82,24,5.88,0
port-gentil,"(0.6057611727205767, 6.905172010911542)",0.6057611727205767,6.905172010911542,82.4,82.4,88,11.41,40
ahuimanu,"(24.372761441160904, -156.6365869042853)",24.372761441160904,-156.6365869042853,75.83,78.8,61,4.7,75
toba,"(33.99646613209778, 137.20332013769945)",33.99646613209778,137.20332013769945,47.05,50,61,11.41,20
coihaique,"(-50.250656256059095, -82.4104418024007)",-50.250656256059095,-82.4104418024007,58.32,60.8,51,3.36,20
pemberton,"(50.99114222716997, -122.62471270895135)",50.99114222716997,-122.62471270895135,55.08,55.99,96,4.27,99
shakawe,"(-19.037152517226843, 21.146935437776648)",-19.037152517226843,21.146935437776648,77.3,77.3,29,3.8,76
bratsk,"(55.471553792344224, 102.12140797996858)",55.471553792344224,102.12140797996858,44.24,44.6,93,11.18,100
san cristobal,"(3.0031810179332155, -87.06066075286247)",3.0031810179332155,-87.06066075286247,109.7,109.7,8,13.11,7
xique-xique,"(-10.816289775159689, -42.665021891624804)",-10.816289775159689,-42.665021891624804,85.4,85.4,70,1.16,22
byron bay,"(-28.6891607038611, 157.13623913822573)",-28.6891607038611,157.13623913822573,85.46,87.8,37,5.82,1
harper,"(1.5464009370400618, -10.61811379362942)",1.5464009370400618,-10.61811379362942,78.78,82,74,9.17,90
muros,"(45.040065129623514, -12.096317774380111)",45.040065129623514,-12.096317774380111,57.27,61,81,17.22,40
touros,"(-5.283306734932609, -35.390925527085955)",-5.283306734932609,-35.390925527085955,75.2,75.2,100,2.24,75
chimore,"(-16.203536311840367, -64.90712076421323)",-16.203536311840367,-64.90712076421323,89,89,40,4.18,100
goulburn,"(-34.453922729953575, 149.28961017110265)",-34.453922729953575,149.28961017110265,46.49,46.99,94,1.99,0
salalah,"(19.41504820354271, 49.98851800643817)",19.41504820354271,49.98851800643817,84.2,84.2,66,3.36,0
tiksi,"(89.41571292887718, 129.67574738650768)",89.41571292887718,129.67574738650768,20.06,20.06,91,4.34,74
acajutla,"(7.257429000473209, -92.35835155314638)",7.257429000473209,-92.35835155314638,86,86,62,1.01,100
san angelo,"(30.417089672933287, -100.31527133525385)",30.417089672933287,-100.31527133525385,109.7,109.7,8,13.11,7
nouadhibou,"(20.685970975082355, -16.799179593457154)",20.685970975082355,-16.799179593457154,68,68,72,18.34,100
